,short_name,age,dob,club_name,overall,MonthName,MonthNumber,DayOfYear
27,N. Kanté,29,1991-03-29,Chelsea,88,March,3,88
62,K. Havertz,21,1999-06-11,Chelsea,85,June,6,162
73,T. Werner,24,1996-03-06,Chelsea,85,March,3,66
81,H. Ziyech,27,1993-03-19,Chelsea,85,March,3,78
82,Thiago Silva,35,1984-09-22,Chelsea,85,September,9,266
127,Azpilicueta,30,1989-08-28,Chelsea,84,August,8,240
157,M. Kovačić,26,1994-05-06,Chelsea,83,May,5,126
203,Jorginho,28,1991-12-20,Chelsea,83,December,12,354
218,Kepa,25,1994-10-03,Chelsea,82,October,10,276
280,C. Pulisic,21,1998-09-18,Chelsea,81,September,9,261
295,B. Chilwell,23,1996-12-21,Chelsea,81,December,12,356
305,A. Rüdiger,27,1993-03-03,Chelsea,81,March,3,62
334,Marcos Alonso,29,1990-12-28,Chelsea,81,December,12,362
369,M. Mount,21,1999-01-10,Chelsea,80,January,1,10
398,K. Zouma,25,1994-10-27,Chelsea,80,October,10,300
526,A. Christensen,24,1996-04-10,Chelsea,79,April,4,101
553,Emerson,25,1994-08-03,Chelsea,79,August,8,215
569,T. Bakayoko,25,1994-08-17,Chelsea,79,August,8,229
613,O. Giroud,33,1986-09-30,Chelsea,79,September,9,273
700,T. Abraham,22,1997-10-02,Chelsea,78,October,10,275
704,R. Loftus-Cheek,24,1996-01-23,Chelsea,78,January,1,23
741,R. Barkley,26,1993-12-05,Chelsea,78,December,12,339
799,V. Moses,29,1990-12-12,Chelsea,78,December,12,346
911,R. James,20,1999-12-08,Chelsea,77,December,12,342
1183,F. Tomori,22,1997-12-19,Chelsea,76,December,12,353
1652,M. Sarr,21,1999-01-23,Chelsea,75,January,1,23
1664,A. Baba,25,1994-07-02,Chelsea,75,July,7,183
1735,M. van Ginkel,27,1992-12-01,Chelsea,75,December,12,336
1772,W. Caballero,38,1981-09-28,Chelsea,75,September,9,271
2044,C. Hudson-Odoi,19,2000-11-07,Chelsea,74,November,11,312
2835,D. Drinkwater,30,1990-03-05,Chelsea,73,March,3,64
3810,B. Gilmour,19,2001-06-11,Chelsea,71,June,6,162
3917,M. Miazga,24,1995-07-19,Chelsea,71,July,7,200
